week,n,mean_p_test,rank_from_end
2025-12-29/2026-01-04,14294,0.10182116566470384,28
2026-01-05/2026-01-11,25219,0.10196202119361042,27
2026-01-12/2026-01-18,25256,0.10185816970007618,26
2026-01-19/2026-01-25,24955,0.10197656035683984,25
2026-01-26/2026-02-01,25277,0.10165520061472252,24
2026-02-02/2026-02-08,25354,0.10161158121407124,23
2026-02-09/2026-02-15,25509,0.10133217052610033,22
2026-02-16/2026-02-22,25056,0.10146544008832661,21
2026-02-23/2026-03-01,25100,0.10157280215307578,20
2026-03-02/2026-03-08,25410,0.1016059396711548,19
2026-03-09/2026-03-15,25687,0.1015450777771452,18
2026-03-16/2026-03-22,25771,0.1020624202856471,17
2026-03-23/2026-03-29,26035,0.10108676439913562,16
2026-03-30/2026-04-05,26209,0.10133777922006636,15
2026-04-06/2026-04-12,26093,0.10113410047954147,14
2026-04-13/2026-04-19,26091,0.10127223535327261,13
2026-04-20/2026-04-26,26237,0.10163503327888145,12
2026-04-27/2026-05-03,26591,0.1016284706497603,11
2026-05-04/2026-05-10,26375,0.10149531120998509,10
2026-05-11/2026-05-17,26659,0.10098046765653881,9
2026-05-18/2026-05-24,26434,0.10164741742202454,8
2026-05-25/2026-05-31,26759,0.10223830265649828,7
2026-06-01/2026-06-07,26674,0.10180308337739429,6
2026-06-08/2026-06-14,27178,0.10189166832160775,5
2026-06-15/2026-06-21,27166,0.10218492913091227,4
2026-06-22/2026-06-28,27357,0.10179113146454957,3
2026-06-29/2026-07-05,27366,0.10175033268763364,2
2026-07-06/2026-07-12,27748,0.10305144659705605,1
2026-07-13/2026-07-19,12082,0.11601639933041409,0
