iter,n_features,auc,dropped
0,187,0.9999869028929081,"merch_age_days, g_comp_size, dev_age_days, g_comp_n_cust, day_of_month, days_since_graph_snapshot"
1,181,0.9999992057088234,"g_comp_n_dev, g_comp_size_frac, dayofweek, gnn_cm_cos, g_dev_emb_norm, account_age_days"
2,175,0.9999971949266673,"cust_stream_age_days, gnn_cust_emb_drift, cust_stream_age_frac, loc_prior_n, g_cust_emb_norm, gnn_cd_cos"
3,169,0.9998190066350225,"g_dev_2hop, g_cust_emb_drift, loc_n_24h, g_cm_cos, merch_prior_n, g_cd_cos"
4,163,0.9992024825022423,"merch_age_frac, g_dev_degree_cust, merch_prior_ndev, merch_prior_ncust, cust_txn_per_active_day, dev_prior_ncust"
5,157,0.9853181445548441,"dev_prior_nloc, g_cust_2hop, merch_n_24h, gnn_cd_score, dev_prior_n, hour_volume_share"
6,151,0.962215670132176,"gr_dev_degree_ratio, cust_prior_n, dev_cust_churn, g_dev_share_of_cust, cust_dt_vs_typical, account_age_log"
7,145,0.914734270166274,"dev_age_frac, cust_dt3, cust_dtype_prior_n, days_since_signup, cust_txn_per_day, dev_dt_vs_typical"
8,139,0.8519196025826791,"custdev_prior_n, cust_dt2, cust_n_168h, time_since_loc_change, loc_n_1h, cust_pay_dt"
9,133,0.8205569221029752,"cust_dev_prior_n, cust_ttype_dt, cust_mcat_dt, cust_prior_nmerch, cust_merch_dt, cust_loc_prior_n"
10,127,0.7975875877991376,"cust_dev_per_txn, g_cust_degree_merch, g_cust_degree_dev, cust_prior_ndev, dev_dt3, cust_n_72h"
11,121,0.7944439533935076,"cust_prior_nmcat, cust_payme_prior_n, cust_prior_nloc, dev_n_168h, cust_amt_sum_168h, cust_dt"
12,115,0.7916092991398491,"cust_pay_prior_n, cust_categ_prior_n, cust_log_dt, cust_time_concentration, cust_pay_share, cust_type_prior_n"
13,109,0.7914074477365357,"cust_mcat_prior_n, cust_ttype_prior_n, amt_z_by_payme, cust_ttype_share, cust_amt_prev_max, cust_amt_prev_std"
14,103,0.788467326151435,"cust_merch_prior_n, cust_merch_share, cust_loc_share, cust_dtype_share, cust_amt_prev_mean, amt_z_by_type"
