comparison,feature,gain,auc,psi,ks,time_monotone,mean_ref,mean_cmp,position_artifact,severity,psi_band,psi_significant,drop_candidate
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),account_age_days,0.8856350220630957,0.5534031139946145,0.22139828775737094,0.12630150696100698,0.8474669000984789,458.8718518680442,512.945124272791,False,,moderate,True,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),location,0.05870144330992824,0.5027799914966182,0.0002998274418415337,0.005309247006383355,0.2421490316227158,24.739646037527564,24.855643294447322,False,,stable,True,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),device_type,0.019492477527238393,0.500622501767273,2.2769060428156143e-05,0.001856879458944416,0.20932268300689352,2.7597733153719832,2.7561946026621182,False,,stable,False,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),amount_bdt,0.01883795535247303,0.5011460203629219,0.00019908887029894488,0.0029966832347169126,0.8936426304847357,1027.6664133513516,938.7857148502758,False,,stable,True,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),dayofweek,0.008783941892054895,0.5079589514072087,0.0031177273305548862,0.018812370621100638,0.136885873727979,2.998764929461624,3.054494989491639,False,,stable,True,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),merchant_category,0.0037719011355361242,0.5001222513380437,1.1024192034959894e-05,0.0006951586835652335,0.18306160411423567,5.467200953080982,5.467096646462185,False,,stable,False,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),hour,0.0024577116108818616,0.5008608114591384,0.00012128452386899065,0.0025079320815198924,0.3432541853594485,13.629470641116372,13.649679418841949,False,,stable,True,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),log_amount,0.001057244261269907,0.5011460203629219,0.00019908887029894488,0.0029966832347169126,0.648101542838385,6.2208473402034326,6.210706380535329,False,,stable,True,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),payment_method,0.0006442656860725731,0.5003750809786869,1.1507515657535835e-05,0.0011359919354995973,0.12397417660575556,2.2011580152525747,2.19892022783345,False,,stable,False,False
RAW COLUMNS: train (Jan 1 - Jul 15) vs test (Jul 16 - Sep 15),transaction_type,0.0006180371614491703,0.5000109073900372,2.161050781856682e-06,0.00036822110707943057,0.08808403545245651,2.3074109697216447,2.3071144649873596,False,,stable,False,False
