,primary_62d,wf_mar,wf_apr,wf_may,mean_gain
amt_ratio_median,0.11345580089518302,0.09008042852000962,0.10765496309382273,0.12183663749784372,0.10825695750171478
log_amt_ratio_mean,0.195604746529565,0.009448139798229265,0.011016060474150319,0.21251668661308912,0.10714640835375842
amt_ratio_last20,0.03597011068757861,0.2057343239771906,0.030649453874931253,0.03904417882924551,0.07784951684223648
amt_ratio_mean,0.02259252008305532,0.004542877408994276,0.212081179239235,0.02367962206988425,0.06572404970029222
cust_n_1h,0.06843062751086598,0.033897736923422135,0.06334743497637271,0.07380130652058026,0.05986927648281027
amount_bdt,0.03432210685454393,0.10273286464579989,0.04291170067362598,0.03492896587451812,0.053723909512121984
cust_log_dt,0.029917135566621334,0.05818325133741666,0.02179198557233353,0.032021738324990424,0.03547852770034049
te_merchant_id,0.037830619142983975,0.024177893761896493,0.035059609803059666,0.04035862368523316,0.03435668659829332
cust_loc_dt,0.024413854149997867,0.03029427740026574,0.041021631475194574,0.028259032241089718,0.030997198816636977
cust_dt,0.028424580211223842,0.02396619719789174,0.03459930694155751,0.02777335801087767,0.028690860590387692
cust_dt2,0.02706516556516584,0.03231086023844776,0.01735111587396231,0.02871914218675292,0.026361570966082208
amt_ratio_min,0.016566107697324382,0.01480277150303592,0.01468695080624674,0.018684533109595017,0.016185090779050514
custdev_dt,0.013028267812157254,0.01019609199450937,0.010284552201749942,0.013454368499422132,0.011740820126959673
dev_prior_ncust,0.013563095841546647,0.006040490044383084,0.01212005403675142,0.014786738768034423,0.011627594672678893
cust_loc_share,0.011090260388195893,0.010670651465956759,0.01032788109585218,0.009262235358085808,0.010337757077022659
dev_amt_sum_6h,0.013756239890663524,0.00014483427063828412,0.009562661784442076,0.014970938584178757,0.00960866863248066
cust_dev_share,0.01287814349687325,0.0028722008053366295,0.004996551595470708,0.013555306568296758,0.008575550616494338
dev_dt,0.006877823148794494,0.00940977465927474,0.008274807288274521,0.006632743654800842,0.007798787187786149
log_amount,0.00360485566951396,0.01739949867826442,0.0061017120991664385,0.00398779023634522,0.007773464170822509
minute_of_day,0.008006677096629972,0.006752341807893225,0.006379716229413657,0.008075320220123158,0.007303513838515003
merch_dt,0.007805507512932712,0.007046167814332925,0.006727706150599447,0.007272149407257587,0.0072128827212806675
te_location,0.006897488699489855,0.005530112181466749,0.005953298026969066,0.0072892047955037025,0.0064175259258573425
merch_prior_n,0.008076866380301627,0.0038988408221033,0.004737164565373494,0.00836499889908525,0.006269467666715918
merch_prior_ndev,0.005588715822113837,0.005209607357254064,0.006422563483602524,0.00543087138809624,0.0056629395127666664
te_hour_bucket_X_device_type,0.004913256776436052,0.007070406526761044,0.005675245898695346,0.004254066922333078,0.00547824403105638
dev_dt2,0.005690859765483862,0.004032631002546777,0.005955480675570457,0.0056497146807436985,0.005332171531086199
loc_n_24h,0.004934150997254468,0.006281787811601606,0.00514359992017321,0.004444917928423604,0.005201114164363222
gnn_cd_score,0.001803306353728734,0.00924583165711908,0.005558785119035155,0.0012525361574038621,0.004465114821821708
cust_n_6h,0.005412049545589284,0.0011461870752138804,0.005360971397266384,0.005806855948373333,0.00443151599161072
cust_dt3,0.0042794341305604,0.004343332810591167,0.004131891967592308,0.00451184386936483,0.004316625694527176
cust_dev_dt,0.0039896013689687945,0.003582539216489913,0.004537751838308041,0.004656014784410879,0.004191476802044407
custdev_prior_n,0.005656261917979576,0.00043047097607230297,0.0043325463027202955,0.006158709580954322,0.004144497194431624
te_location_decay,0.003725741565248594,0.004585930662534113,0.004837830200444456,0.0027977303383464234,0.003986808191643396
dev_cust_churn,0.0037053953796265375,0.00480887756914557,0.003743937814686608,0.003545567847581295,0.003950944652760003
merch_age_frac,0.0040610823859959,0.004042507903625126,0.00381590050719052,0.0033231010522208745,0.003810647962258105
merch_prior_ncust,0.0034853045084003663,0.004825715615491296,0.003070311736081306,0.0035426551382867657,0.003730996749564934
hour,0.002953961757441998,0.0037111923082336967,0.004299030268089653,0.0026824382543445082,0.0034116556470274637
loc_dt,0.0031321575242472424,0.004125913672668618,0.003954720924368351,0.002348890762167114,0.003390420720862831
hour_volume_share,0.00307906317600899,0.004541697348872755,0.0033964347328909517,0.0023758522809533464,0.0033482618846815107
loc_n_1h,0.0025455330412980162,0.0044209584348240405,0.004009719901427309,0.0023801247368191772,0.003339084028592136
cust_merch_dt,0.0038963378448382165,0.003097620822260659,0.0031857246033585294,0.0031225250693280005,0.0033255520849463515
cust_burst_24h_168h,0.003152579556164633,0.003040834066468158,0.0035089892328735756,0.0031356026635120052,0.003209501379754593
amt_rank_7d,0.002097975423257783,0.00459190420939632,0.0031440881620382003,0.002468155136680792,0.003075530732843274
gnn_cd_cos,0.002921656991024944,0.0034853393974606252,0.00338139941833554,0.0022784090335406684,0.0030167012100904443
dev_amt_mean_168h,0.003020130218354462,0.0034226648684303265,0.0035123275116019396,0.002090991026773644,0.0030115284062900934
g_cd_cos,0.003648051665529364,0.003108922204026464,0.0022417045152536984,0.0030203528677096355,0.0030047578131297903
amt_ratio_last5,0.0015986978079415787,0.006587150844354798,0.0023798228164992425,0.00133831083064851,0.0029759955748610324
dev_new_cust_24h,0.004096212190671597,0.002086327174476481,0.0019946566147030645,0.0036029668772699624,0.0029450407142802763
amt_ratio_last1,0.0033880408883210154,0.002633173175204841,0.0028155040425777884,0.0026990955332708826,0.002883953409843632
dev_dt3,0.002479940270589365,0.003224452637152965,0.0037575556274360472,0.0017355304848849628,0.002799369755015835
cust_dt_vs_typical,0.0028064625734989528,0.0029660175492459435,0.0035228142983427667,0.0018909875053287279,0.0027965704816040977
amt_rank_30d,0.0023194554698496785,0.002323472094297126,0.00403597866651173,0.002377931851399887,0.0027642095205146055
gnn_cm_cos,0.0027583445599410725,0.0036373154283237483,0.002684015546970453,0.001977014020186074,0.002764172388855337
merch_log_dt,0.0031991183544058084,0.001793824187750769,0.0030370424968206608,0.0029930766992147194,0.0027557654345479895
amt_ratio_mean_by_categ,0.0029427471563955193,0.002242166679219059,0.0029018696067840523,0.0024973842963286713,0.002646041934681826
dev_dt_vs_typical,0.002669824413751126,0.0032663882802856027,0.002974674385841208,0.0016717068416023868,0.002645648480370081
gnn_cust_emb_drift,0.0026780819597353126,0.0032668752414129576,0.0029209104697245016,0.001715038072307238,0.0026452264357950026
amt_z,0.002511750935693773,0.0029277665611288817,0.0027860859740656083,0.0022564028104480206,0.002620501570334071
g_cm_cos,0.0029087083293665977,0.002948590306288147,0.0029445258370328527,0.0015197939570482908,0.002580404607433972
te_location_X_transaction_type,0.0025365095907198707,0.0031762461826820246,0.0028975904890293862,0.0016733211512183427,0.002570916853412406
g_dev_emb_norm,0.0024527661319400066,0.0029766959216227335,0.002813571945178157,0.0020096233307300556,0.002563164332367738
days_since_graph_snapshot,0.0025556926562150493,0.0028026382960464617,0.0027673939438492864,0.0018142759736584602,0.0024850002174423144
cust_amt_prev_std,0.0025756887384097275,0.0022678578279951346,0.0025187838070243477,0.002250370612682845,0.0024031752465280137
cust_stream_age_frac,0.0015241532544555622,0.003219815128852884,0.003846337135631002,0.0009723237142930645,0.002390657308308128
g_dev_2hop,0.0024552217468108927,0.002141000299063016,0.0025187283403538554,0.002447512622116713,0.0023906157520861195
g_cust_emb_drift,0.0025615890185259455,0.002713061792773669,0.0025985893328617678,0.0016205787485385472,0.0023734547231749822
dev_prior_n,0.0018900640152310904,0.0032886276841628485,0.0028711618755781865,0.0014074437780331659,0.0023643243382513225
amt_z_by_type,0.0023791149494395785,0.0023226026950990456,0.002725107974581063,0.0017279839446133873,0.0022887023909332685
merch_n_24h,0.0026421961942294774,0.0016703472385872521,0.00278969161331271,0.002033494178432852,0.0022839323061405728
cust_ang_dev,0.002031057683595742,0.0026518899327731093,0.003079987419843161,0.001367150336094524,0.0022825213430766344
account_age_days,0.0021429959644422483,0.0030796964616225924,0.002692089385693525,0.001201125659619933,0.0022789768678445742
te_transaction_type,0.0021242576076455078,0.0028830263488356656,0.002221675437911599,0.0018188145229916261,0.0022619434793460995
hour_cos,0.002029312178019271,0.00291585435504053,0.0026727467615505324,0.0014279721942177873,0.00226147137220703
cust_ttype_dt,0.0025829907673529245,0.002562508370585003,0.002451987021105683,0.0013087234638001445,0.0022265524057109385
cust_pay_dt,0.0024461621485612796,0.002382423686944644,0.002546514609551944,0.0015088500537889574,0.0022209876247117058
amt_ratio_mean_by_payme,0.0022558942443557596,0.002404367590473305,0.002232721404332913,0.0019794023576977654,0.0022180963992149355
amt_ratio_mean_by_type,0.0024615538680305173,0.002201648543508808,0.0024259169003018268,0.0017014156108761565,0.002197633730679327
cust_ang_dev_weighted,0.002184797906280809,0.0027490688273454685,0.002519802670806413,0.0012121388202882247,0.002166452056180229
dev_age_frac,0.002194427822593066,0.002477917735854071,0.0023212518093175577,0.001530393634237223,0.0021309977505004794
te_payment_method,0.00198847878788662,0.002341178477635051,0.002311440588210965,0.0016080854401997304,0.0020622958234830916
te_transaction_type_decay,0.0020873171869692305,0.0023695329321788486,0.002557168041289174,0.001204749141841372,0.002054691825569656
dev_log_dt,0.0017424688732906285,0.0025177212074599,0.0018924091930172299,0.0017225796575707894,0.001968794732834637
cust_time_concentration,0.0017815462871084854,0.002574303491617011,0.00218985194255477,0.001301393614691073,0.001961773833992835
hour_sin,0.0018671329121640265,0.00262211371665572,0.0020997459185979578,0.0011494630695962097,0.0019346139042534787
g_dev_degree_cust,0.002564909135614821,0.0009424497057888226,0.001910162015779692,0.00230372664112889,0.0019303118745780563
merch_age_days,0.0021414129008585914,0.0021243376918351825,0.001588109189940985,0.0018403986790209484,0.0019235646154139269
cust_mcat_dt,0.0019417252572272164,0.0023679564142008854,0.002058939635193269,0.0013002674659714165,0.0019172221931481968
loc_prior_n,0.0017809482441895823,0.002097465627179243,0.0021822776493809135,0.0015816742315244866,0.0019105914380685564
cust_new_dev,0.002928138139975285,0.0004930989458550779,0.0007355051009522323,0.0032101317959060973,0.001841718495672173
amt_z_by_payme,0.0019981392679885536,0.0013971941101076787,0.0024718913223263374,0.001336060915742879,0.0018008214040413622
amt_z_by_categ,0.0019953029763923984,0.0015132934833470017,0.002015744904527697,0.0015728550462669115,0.0017742991026335024
time_since_loc_change,0.001970448170644691,0.001603049017258891,0.0019121028488618078,0.0015593701996029804,0.0017612425590920926
te_merchant_category_decay,0.00176949996816747,0.002219206240665941,0.001988959453549131,0.0010092301714124965,0.00174672395844876
g_cust_emb_norm,0.0018052346280320291,0.0019817775933340625,0.0020133755167318535,0.0011641499742525573,0.0017411344280876253
te_device_type_decay,0.00157818757709547,0.0019034125179729973,0.0022148621630163814,0.0011144682777436672,0.001702732633957129
te_device_type,0.0016144887945238546,0.002178337213400709,0.0019294971694673454,0.0010339347829547503,0.001689064490086665
dev_age_days,0.0020232544620404154,0.0013486781628067877,0.001514796839700864,0.001791368929003638,0.0016695245983879262
cust_amt_prev_mean,0.0017117343259565993,0.001806679819796692,0.002008210025398321,0.0011082174567017564,0.0016587104069633422
day_of_month,0.0015450876840501211,0.002362742578961877,0.0018810892039362469,0.0008160820726240188,0.001651250384893066
te_merchant_category,0.0017731815177212513,0.0020385959062976643,0.0019244257206471227,0.0008603733895297247,0.0016491441335489407
merch_n_1h,0.0016872885306818462,0.001928631128313115,0.0016518690118363462,0.0012979492654279256,0.0016414344840648084
cust_merch_share,0.0016836915303652332,0.0017294562894380524,0.0015206384817342965,0.0013657470198153191,0.0015748833303382253
te_payment_method_decay,0.0015636301251850462,0.0020100620321942472,0.0015547355309496842,0.0010654717318758806,0.0015484748550512145
cust_amt_prev_max,0.0016905669012237407,0.0017129557142254099,0.00168723738791423,0.0010892627966198286,0.0015450056999958023
cust_loc_prior_n,0.0015971587644652602,0.001397482108419112,0.0013773076905404251,0.0017126836821568675,0.001521158061395416
cust_dtype_dt,0.001593757397123933,0.001978877775273034,0.001386503951479857,0.0010346215153838453,0.0014984401598151674
amt_ratio_max,0.001644568939729179,0.001672530850846921,0.001439341237696019,0.0011958858131132335,0.0014880817103463382
cust_txn_per_day,0.0015566959701563497,0.001564588469573564,0.001611823234098582,0.0008921189799912093,0.0014063066634549264
cust_pay_share,0.0015928208570162004,0.001403146502090867,0.001641822040964813,0.0009850265713162213,0.0014057039928470254
cust_amt_mean_168h,0.0013519601964143274,0.001606571444467094,0.0016487152316639537,0.0008481393029046301,0.0013638465438625012
cust_dev_per_txn,0.0015815354109951925,0.0011751241839806693,0.0014770269402350211,0.0011683732567669262,0.0013505149479944522
dev_amt_sum_168h,0.0013456826062674245,0.0016047344496324077,0.001438912975967962,0.0006579268907136776,0.0012618142306453678
dev_n_6h,0.00016397093710421645,0.004541469043868028,6.102132740097205e-05,0.00021855213647053705,0.0012462533612109387
g_dev_share_of_cust,0.0012329178710544855,0.0011978636677273777,0.001409606079441972,0.0010699429689185556,0.0012275826467855978
cust_new_loc,4.6204138348280714e-05,0.002790926017749782,0.0013710617966602792,0.0006289013048947494,0.0012092733144132728
cust_mcat_share,0.0011316986765091625,0.0011494783198050598,0.001354937190363958,0.0009454262520094833,0.001145385109671916
cust_amt_mean_72h,0.0012306471357340332,0.0012324487149652141,0.0012557558917946066,0.000846599848824242,0.001141362897829524
cust_stream_age_days,0.0012812029267524753,0.0010382970530319494,0.0011181461072561076,0.0009554412926329203,0.0010982718449183632
cust_txn_per_active_day,0.0011260574956579036,0.001335497248690007,0.0010873404359671253,0.0007967615151092528,0.001086414173856072
cust_dtype_share,0.0012704192324997472,0.0009582659147381617,0.000987359439576598,0.00067424359184898,0.0009725720446658717
loc_log_dt,0.0008639754698568486,0.0012822172340885706,0.0008371032931098892,0.0008380194166127586,0.0009553288534170168
dev_amt_mean_24h,0.0012046375898876916,0.0009258673160827839,0.0009694330194081539,0.0006923207189852601,0.0009480646610909723
cust_ttype_share,0.0011334239339772438,0.0006523155021112353,0.0010950082119475083,0.0007401302413338397,0.0009052194723424567
gr_dev_degree_ratio,0.0008177095072696561,0.001055579837321767,0.001064938296508117,0.0004795255736015278,0.0008544383036752669
cust_burst_1h_24h,0.00046521680529545446,0.0018407097415918056,0.0006133597675786785,0.0003212903060882977,0.0008101441551385591
