candidate,kind,halflife,train_days,ap_primary_62d,lift_primary_62d,ap_tail_late,lift_tail_late,rounds_2026-05-14,ntrain_2026-05-14,ap_tail_recent,lift_tail_recent,rounds_2026-06-28,ntrain_2026-06-28,secs,d_tail_late,lo_tail_late,hi_tail_late,d_tail_recent,lo_tail_recent,hi_tail_recent,verdict,ap_tail_far,lift_tail_far,rounds_2026-04-15,ntrain_2026-04-15,d_tail_far,lo_tail_far,hi_tail_far,drop_blocks,n_features
lgb_deep,lgb,,,0.7333106706647559,43.70462416909996,0.5508652705515338,34.65912239698583,758,491877,0.5616488069654471,35.33759665997208,881,664746,506,0.0017264797663818,-0.0012048685180911,0.0046783585458288,0.0016421933776721,-0.0010180796454411,0.0040137679802249,no result (< noise floor),0.529906763890709,33.340463395505694,668.0,382367.0,-0.0021250153295955,-0.0054088888951357,0.0015402983227453,,
lgb_shallow,lgb,,,0.7359553128130502,43.86224234619287,0.5523651353844637,34.75349029709216,219,491877,0.5600761473907886,35.238648689205455,254,664746,67,0.0032263445993118,0.0009631975105714,0.0059478978001897,6.953380301366607e-05,-0.0023915380955238,0.0024768304360085,BETTER,0.5319941557591369,33.47179708838105,193.0,382367.0,-3.7623461167646255e-05,-0.0034612771841606,0.0029300366976555,,
lgb_reg,lgb,,,0.7319139443739789,43.621380599835966,0.5470989820809907,34.422156554226824,398,491877,0.5608417122345885,35.286816194115545,462,664746,105,-0.0020398087041612,-0.0046865554527662,0.0006978984852062,0.0008350986468135,-0.0017660660436041,0.003051261307253,no result (< noise floor),0.5310665862221633,33.413436636502325,350.0,382367.0,-0.0009651929981412,-0.0044071378200298,0.0020582893719932,,
lgb_extra,lgb,,,0.7320725433484665,43.63083294909375,0.547475401669055,34.445839972428665,467,491877,0.5590453138416065,35.1737911132028,542,664746,136,-0.0016633891160969,-0.0050692349930756,0.0015973735595836,-0.0009612997461684,-0.0050024884766729,0.0031533006495943,no result (< noise floor),0.5346693408177722,33.640113319841774,411.0,382367.0,0.0026375615974676,-0.0019616523124192,0.0066275834360093,,
xgb_base,xgb,,,0.7339671288738311,43.74374845906064,0.5481469111315042,34.48808973819527,191,491877,0.5625305900501185,35.39307633802225,222,664746,115,-0.0009918796536477,-0.0035592106657657,0.0020108181012155,0.0025239764623435,0.0001308541424392,0.0048676607538457,no result (< noise floor),0.5305334089242546,33.37989039894589,168.0,382367.0,-0.0014983702960499,-0.0044706480392976,0.001611862678921,,
xgb_shallow,xgb,,,0.7320653278766903,43.63040291378294,0.5473892636392612,34.44042037406722,1066,491877,0.5603434919786182,35.25546936984572,1239,664746,348,-0.0017495271458907,-0.004447441095381,0.0013232075631356,0.0003368783908432,-0.0021214158254605,0.0026633526945959,no result (< noise floor),0.5291523590608151,33.29299805191997,939.0,382367.0,-0.0028794201594893,-0.0064180249736845,0.0006045559646607,,
lgb_durable,lgb,,,0.7193556741479109,42.87291954178705,0.5397329304399653,33.95870224142688,246,491877,0.5502272250196762,34.61897810151888,285,664746,81,-0.0094058603451866,-0.0161012541803249,-0.0029631481886561,-0.0097793885680986,-0.0167321437670568,-0.0040013110397005,WORSE,0.5196733278405239,32.696600128812584,216.0,382367.0,-0.0123584513797806,-0.0204719681121759,-0.0058747126426362,amount,203.0
lgb_sub30,lgb,,,0.7327257521782538,43.66976357911432,0.548270935522641,34.49589305559867,302,491877,0.5605181683289772,35.26645958711044,351,664746,65,-0.0008678552625109,-0.0033953730640042,0.0014168518952601,0.0005115547412022,-0.002061189777482,0.0033460164135541,no result (< noise floor),0.5330720381701617,33.53961486599455,266.0,382367.0,0.0010402589498571,-0.0020080586207812,0.0039786673378866,,
lgb_linear,lgb,,,0.7314477236323543,43.593594283466025,0.548371019316693,34.50219008801919,60,491877,0.5593548393463184,35.19326571602547,69,664746,35,-0.0007677714684589,-0.0039806092946328,0.0028972107972447,-0.0006517742414565,-0.0034628108869387,0.0021290082823577,no result (< noise floor),0.5016037757764904,31.55970722572757,52.0,382367.0,-0.0304280034438141,-0.048268488524184,-0.0145240530479977,,
cat_durable,cat,,,0.7181369823234129,42.80028665875624,0.5384639355299274,33.87886012347285,875,491877,0.5502215254565103,34.61861949866635,1017,664746,481,-0.0106748552552244,-0.0170641422019422,-0.0039378375281756,-0.0097850881312646,-0.0160659515896673,-0.0030646445979342,WORSE,0.5142714777757063,32.3567286709891,771.0,382367.0,-0.0177603014445982,-0.0258666798998554,-0.0099669235311932,amount,203.0
